"Family","Genus","Species","TaxonomyID"
"erythrophleum","Erythrophleum","suaveolens",159
"Lecythidaceae","Eschweilera","cf. coriacea",160
"Lecythidaceae","Eschweilera","sp.",161
"Myrtaceae","Eucalyptus","deglupta",162
"Myrtaceae","Eucalyptus","globulus",163
"Myrtaceae","Eucalyptus","grandis",164
"Myrtaceae","Eucalyptus","urograndis",165
"Fabaceae","Eucalyptus","urograndis",166
"Fagaceae","Fagus","grandifolia",167
"Fagaceae","Fagus","orientails",168
"Fabaceae","Falcataria","falcata",169
"Bignoniaceae","Fernandoa","adenophylla",170
"Cupressaceae","Fokienia","hodginsii",171
"Rhamnaceae","Frangula","purshiana",172
"Oleaceae","Fraxinus","americana",173
"Oleaceae","Fraxinus","excelsior",174
"Oleaceae","Fraxinus","nigra",175
"Fagaceae","Fraxinus","nigra",176
"Phytolaccaceae","Gallesia","integrifolia",177
"Rubiaceae","Gardenia","sootepensis",178
"Burseraceae","Garuga","pinnata",179
"Fabaceae","Gleditsia","triacanthos",180
"Anacardiaceae","Gluta","laccifera",181
"Lamiaceae","Gmelina","arborea",182
"Goupiaceae","Goupia","glabra",183
"Meliaceae","Guarea","kunthiana",184
"Fabaceae","Guibourtia","sp.",185
"Fabaceae","Guibourtia","tessmannii",186
"Fabaceae","Gymnocladus","dioica",187
"Bignoniaceae","Handroanthus","impetiginosus",188
"Bignoniaceae","Handroanthus","incanus",189
"Bignoniaceae","Handroanthus","serratifolius",190
"Bignoniaceae","Handroanthus","sp.",191
"Unknown","Hardboard","Not Recorded",192
"Malvaceae","Heriteria","littoralis",193
"Heritiera","Heritiera","littoralis",194
"Cupressus","Hesperocyparis","lusitanica",195
"Euphorbiaceae","Hevea","brasiliensis",196
"Euphorbiaceae","Hevea","guianensis",197
"Juglandaceae","Hicoria","sp.",198
"Apocynaceae","Holarrhena","sp.",199
"Salicaceae","Homalium","foetidum",200
"Homalium","Homalium","foetidum",201
"Dipterocarpaceae","Hopea","ferrea",202
"Dipterocarpaceae","Hopea","odorata",203
"Malvaceae","Huberodendron","swietenioides",204
"Humiriaceae","Humiriastrum","procerum",205
"Euphorbiaceae","Hura","crepitans",206
"Fabaceae","Hymenaea","cf. oblongifolia",207
"Fabaceae","Hymenaea","courbaril",208
"Fabaceae","Hymenaea","parvifolia",209
"Fabaceae","Hymenaea","sp.",210
"Rubiaceae","Hymenodictyon","orixense",211
"Aquifoliaceae","Ilex","opaca",212
"Fabaceae","Inga","coruscans",213
"Fabaceae","Intsia","bijuga",214
"Intsia","Intsia","bijuga",215
"Sapindaceae","Intsia","bijuga",216
"Fabaceae","Intsia","palembanica",217
"Irvingiaceae","Irvingia","malayana",218
"Bignoniaceae","Jacaranda","copaia",219
"Juglandaceae","Juglans","cinerea",220
"Juglandaceae","Juglans","neotropica",221
"Juglandaceae","Juglans","nigra",222
